Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Lingerfelt, Tim","Lingerfelt, Tim",House of Representatives District 4,Lost,Lost,Republican,Erwin,No,2016,
"Lockhart, William A.","Lockhart, William A.",House of Representatives District 47,Lost,Lost,Republican,Tullahoma,No,2016,
"Lollar, Ron","Lollar, Ron",House of Representatives District 99,Won,Won,Republican,Arlington,No,2016,
"Lovell, Mark","Lovell, Mark",House of Representatives District 95,Won,Won,Republican,Eads,No,2016,
"Lynn, Steve","Lynn, Steve",House of Representatives District 47,Lost,Lost,Republican,Tullahoma,No,2016,
"Marion, Teresa","Marion, Teresa",House of Representatives District 40,Lost,Lost,Democrat,Pleasant Shade,No,2016,
"Marrero, Beverly","Marrero, Beverly",Senate District 30,Lost,Lost,Democrat,Memphis,No,2016,
"Massey, Jr., William Nathan","Massey, Jr., William Nathan",House of Representatives District 50,Lost,Won,Republican,Whites Creek,No,2016,
"Matheny, Dana","Matheny, Dana",House of Representatives District 95,Lost,Lost,Republican,Collierville,No,2016,
"Matheny, Judd","Matheny, Judd",House of Representatives District 47,Won,Won,Republican,Tullahoma,No,2016,
"Matlock, Jimmy","Matlock, Jimmy",House of Representatives District 21,Won,Won,Republican,Lenoir City,No,2016,
"Mccall, Holly","Mccall, Holly",House of Representatives District 65,Lost,Won,Democrat,Franklin,No,2016,
"Mccarter, Michael A.","Mccarter, Michael A.",House of Representatives District 11,Lost,Lost,Republican,Newport,No,2016,
"Mccormick, Gerald","Mccormick, Gerald",House of Representatives District 26,Won,Won,Republican,Chattanooga,No,2016,
"Mcdaniel, Steve","Mcdaniel, Steve",House of Representatives District 72,Won,Won,Republican,Parkers Crossroads,No,2016,
"Mcdow, Ron","Mcdow, Ron",Senate District 20,Lost,Lost,Republican,Nashville,No,2016,
"Mcelravey, Tina","Mcelravey, Tina",House of Representatives District 86,Lost,Lost,Republican,Millington,No,2016,
"Mcfolin, Donald Ray","Mcfolin, Donald Ray",House of Representatives District 60,Lost,Lost,Republican,Nashville,No,2016,
"Mckamey, Michael S.","Mckamey, Michael S.",House of Representatives District 33,Lost,Won,Democrat,Knoxville,No,2016,
"Mcmanus, Stephen","Mcmanus, Stephen",House of Representatives District 96,Lost,Lost,Republican,Collierville,No,2016,
"Mcneill, Shane K.","Mcneill, Shane K.",House of Representatives District 65,Lost,Lost,Republican,Thompsons Station,No,2016,
"Miller-Watkins, Civil","Miller-Watkins, Civil",House of Representatives District 94,Lost,Lost,Democrat,Rossville,No,2016,
"Miller, Justin","Miller, Justin",House of Representatives District 48,Lost,Won,Democrat,Murfreesboro,No,2016,
"Moore, Calvin","Moore, Calvin",House of Representatives District 70,Lost,Won,Democrat,West Point,No,2016,
"Moore, Jason","Moore, Jason",House of Representatives District 2,Lost,Won,Democrat,Kinsgsport,No,2016,
"Morgan, Michael","Morgan, Michael",House of Representatives District 7,Lost,Lost,Democrat,Jonesborough,No,2016,
"Moth, Chris","Moth, Chris",House of Representatives District 56,Lost,Won,Democrat,Nashville,No,2016,
"Neubert, John","Neubert, John",House of Representatives District 9,Lost,Won,Independent,Rogersville,No,2016,
"Newman, Andrew","Newman, Andrew",House of Representatives District 28,Lost,Won,Independent,Chattanooga,No,2016,
"Norman, Joey","Norman, Joey",Senate District 28,Lost,Won,Independent,Columbia,No,2016,
"Norris, Mark","Norris, Mark",Senate District 32,Won,Won,Republican,Germantown,No,2016,
"Norris, Michelle","Norris, Michelle",House of Representatives District 53,Lost,Lost,Republican,Antioch,No,2016,
"O'Grady, Patrick Ty","O'Grady, Patrick Ty",Senate District 10,Lost,Lost,Democrat,Chattanooga,No,2016,
"Oakes, Mark S.","Oakes, Mark S.",House of Representatives District 77,Lost,Lost,Democrat,Dyersburg,No,2016,
"Overbey, Doug","Overbey, Doug",Senate District 2,Won,Won,Republican,Maryville,No,2016,
"Overstreet, Tyler","Overstreet, Tyler",House of Representatives District 32,Lost,Won,Independent,Harriman,No,2016,
"Patel, Dhruv","Patel, Dhruv",House of Representatives District 66,Lost,Lost,Republican,Portland,No,2016,
"Peoples, Tony","Peoples, Tony",House of Representatives District 39,Lost,Lost,Democrat,South Pittsburgh,No,2016,
"Pitts, Joe","Pitts, Joe",House of Representatives District 67,Won,Won,Democrat,Clarksville,No,2016,
"Pivnick, Lawrence","Pivnick, Lawrence",House of Representatives District 83,Lost,Won,Democrat,Memphis,No,2016,
"Poe, James","Poe, James",House of Representatives District 75,Lost,Lost,Republican,Buchanan,No,2016,
"Porch, Andrew","Porch, Andrew",House of Representatives District 74,Lost,Won,Democrat,Waverly,No,2016,
"Powell, Daniel","Powell, Daniel",House of Representatives District 75,Lost,Won,Democrat,Cottage Grove,No,2016,
"Powers, Amos Scott","Powers, Amos Scott",House of Representatives District 42,Lost,Won,Democrat,Cookeville,No,2016,
"Price, Brandi","Price, Brandi",House of Representatives District 18,Lost,Won,Democrat,Knoxville,No,2016,
"Proffitt, Larry","Proffitt, Larry",House of Representatives District 66,Lost,Won,Democrat,Greenbrier,No,2016,
"Ramsey, Marjorie","Ramsey, Marjorie",House of Representatives District 11,Lost,Won,Democrat,Newport,No,2016,
"Ramsey, Robert (Bob)","Ramsey, Robert (Bob)",House of Representatives District 20,Won,Won,Republican,Maryville,No,2016,
"Ramsey, Ron","Ramsey, Ron",Senate District 4,Lost,Lost,Republican,Blountville,No,2016,
"Randolph, Matt","Randolph, Matt",Senate District 14,Lost,Lost,Republican,Ardmore,No,2016,
"Reagan, Sibyl","Reagan, Sibyl",House of Representatives District 45,Lost,Won,Independent,Hendersonville,No,2016,
"Reasons, Jr., Tom","Reasons, Jr., Tom",House of Representatives District 77,Lost,Won,Independent,Dyersburg,No,2016,
"Reed, Deborah K.","Reed, Deborah K.",House of Representatives District 81,Lost,Won,Democrat,Munford,No,2016,
"Robinson, Robert (Bob)","Robinson, Robert (Bob)",House of Representatives District 43,Lost,Lost,Republican,Sparta,No,2016,
"Rogers, Courtenay","Rogers, Courtenay",House of Representatives District 63,Lost,Won,Democrat,Franklin,No,2016,
"Rogers, Courtney L.","Rogers, Courtney L.",House of Representatives District 45,Won,Won,Republican,Goodlettsville,No,2016,
"Rogers, Sydney","Rogers, Sydney",House of Representatives District 56,Lost,Lost,Democrat,Nashville,No,2016,
"Sanderson, Bill","Sanderson, Bill",House of Representatives District 77,Won,Won,Republican,Kenton,No,2016,
"Sargent, Jr., Charles","Sargent, Jr., Charles",House of Representatives District 61,Won,Won,Republican,Franklin,No,2016,
"Sawyer, Tami (Tamara)","Sawyer, Tami (Tamara)",House of Representatives District 90,Lost,Lost,Democrat,Memphis,No,2016,
"Sexton, Jerry","Sexton, Jerry",House of Representatives District 35,Won,Won,Republican,Bean Station,No,2016,
"Shepard, David","Shepard, David",House of Representatives District 69,Lost,Lost,Democrat,Dickson,No,2016,
"Shipley, Tony","Shipley, Tony",Senate District 4,Lost,Lost,Republican,Kingsport,No,2016,
"Shutt, Bob","Shutt, Bob",Senate District 26,Lost,Lost,Republican,Savannah,No,2016,
"Sigler, Christy","Sigler, Christy",House of Representatives District 34,Lost,Lost,Republican,Murfreesboro,No,2016,
"Silvertooth, Nancy","Silvertooth, Nancy",House of Representatives District 39,Lost,Won,Democrat,Winchester,No,2016,
"Smith, Eddie","Smith, Eddie",House of Representatives District 13,Won,Won,Republican,Knoxville,No,2016,
"Smith, Jonathan L.","Smith, Jonathan L.",House of Representatives District 91,Lost,Lost,Democrat,Memphis,No,2016,
"Smith, Lori L.","Smith, Lori L.",Senate District 22,Lost,Lost,Republican,Clarksville,No,2016,
"Smith, Terrence A.","Smith, Terrence A.",House of Representatives District 61,Lost,Lost,Republican,Brentwood,No,2016,
"Spivey, Billy","Spivey, Billy",House of Representatives District 92,Lost,Lost,Republican,Lewisburg,No,2016,
"Stafford, Corey","Stafford, Corey",House of Representatives District 32,Lost,Won,Democrat,Harriman,No,2016,
"Staples, Rick","Staples, Rick",House of Representatives District 15,Won,Won,Democrat,Knoxville,No,2016,
"Staten, Travis S.","Staten, Travis S.",House of Representatives District 78,Lost,Won,Democrat,Springfield,No,2016,
"Stewart, Mike","Stewart, Mike",House of Representatives District 52,Won,Won,Democrat,Nashville,No,2016,
"Swift-Lawson, Kathleen","Swift-Lawson, Kathleen",House of Representatives District 39,Lost,Lost,Democrat,Whitwell,No,2016,
"Thomas, Brandon","Thomas, Brandon",House of Representatives District 49,Lost,Won,Democrat,Murfreesboro,No,2016,
"Tidwell, John","Tidwell, John",House of Representatives District 74,Lost,Lost,Democrat,New Johnsonville,No,2016,
"Tillis, Thomas R.","Tillis, Thomas R.",House of Representatives District 92,Won,Won,Republican,Lewisburg,No,2016,
"Todd, Curry","Todd, Curry",House of Representatives District 95,Lost,Lost,Republican,Memphis,No,2016,
"Tracy, Jim","Tracy, Jim",Senate District 14,Won,Won,Republican,Murfreesboro,No,2016,
"Turner, James","Turner, James",House of Representatives District 34,Lost,Lost,Republican,Murfreesboro,No,2016,
"Turner, Johnnie R.","Turner, Johnnie R.",House of Representatives District 85,Won,Won,Democrat,Memphis,No,2016,
"Van Huss, Micah","Van Huss, Micah",House of Representatives District 6,Won,Won,Republican,Gray,No,2016,
"Vandever, William","Vandever, William",House of Representatives District 21,Lost,Won,Independent,Madisonville,No,2016,
"Waggoner, Michael P. (Mike)","Waggoner, Michael P. (Mike)",House of Representatives District 92,Lost,Lost,Republican,Chapel Hill,No,2016,
"Waldrop, Roy Donald","Waldrop, Roy Donald",House of Representatives District 70,Lost,Won,Independent,Leoma,No,2016,
"Warner, Mike","Warner, Mike",House of Representatives District 67,Lost,Won,Independent,Clarksville,No,2016,
"Washington, Joyce","Washington, Joyce",House of Representatives District 76,Lost,Lost,Democrat,Martin,No,2016,
"Watkins, Samuel A. Arthur","Watkins, Samuel A. Arthur",House of Representatives District 91,Lost,Won,Republican,Memphis,No,2016,
"Weaver, Terri Lynn","Weaver, Terri Lynn",House of Representatives District 40,Won,Won,Republican,Lancaster,No,2016,
"Weston, Pamela O.","Weston, Pamela O.",House of Representatives District 21,Lost,Won,Democrat,Sweetwater,No,2016,
"White, Ethan","White, Ethan",House of Representatives District 29,Lost,Lost,Republican,Chattanooga,No,2016,
"White, Wayne","White, Wayne",House of Representatives District 69,Lost,Lost,Republican,Cumberland Furance,No,2016,
"Wilburn, Leigh","Wilburn, Leigh",House of Representatives District 94,Lost,Lost,Republican,Somerville,No,2016,
"Wilcher, Michael Shane","Wilcher, Michael Shane",Senate District 16,Lost,Lost,Republican,Mcminnville,No,2016,
"Wilkinson, Khristy","Wilkinson, Khristy",Senate District 10,Lost,Won,Democrat,Chattanooga,No,2016,
"Wilkinson, Nicholas A.","Wilkinson, Nicholas A.",Senate District 10,Lost,Lost,Democrat,Lookout Mountain,No,2016,
"Williams, Daniel","Williams, Daniel",House of Representatives District 79,Lost,Lost,Republican,Huntingdon,No,2016,
"Williams, Jr., Orrden","Williams, Jr., Orrden",House of Representatives District 88,Lost,Won,Independent,Memphis,No,2016,
"Williams, Keith","Williams, Keith",House of Representatives District 85,Lost,Lost,Democrat,Memphis,No,2016,
"Williams, Scott P.","Williams, Scott P.",Senate District 2,Lost,Lost,Republican,Maryville,No,2016,
"Windle, John Mark","Windle, John Mark",House of Representatives District 41,Won,Won,Democrat,Jamestown,No,2016,
"Winton, Michael","Winton, Michael",Senate District 16,Lost,Won,Democrat,Tullahoma,No,2016,
"Wirgau, Timothy","Wirgau, Timothy",House of Representatives District 75,Won,Won,Republican,Paris,No,2016,
"Womick, Rick","Womick, Rick",House of Representatives District 34,Lost,Lost,Republican,Rockvale,No,2016,
"Zachary, Joey","Zachary, Joey",House of Representatives District 38,Lost,Lost,Republican,Oneida,No,2016,
"Zachary, Jason","Zachary, Jason",House of Representatives District 14,Lost,Won,Republican,Knoxville,Yes,2015,
"Carson, Karen","Carson, Karen",House of Representatives District 14,Lost,Lost,Republican,Knoxville,No,2015,
"Akbari, Raumesh","Akbari, Raumesh",House of Representatives District 91,Won,Won,Democrat,Memphis,Yes,2014,
"Bailey, Paul","Bailey, Paul",Senate District 15,Won,Won,Republican,Sparta,Yes,2014,
"Boyd, Clark","Boyd, Clark",Senate District 17,Lost,Lost,Republican,Lebanon,Yes,2014,
"Briggs, Richard","Briggs, Richard",Senate District 7,Won,Won,Republican,Knoxville,Yes,2014,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2014,
"Carr, Bruce Dale","Carr, Dale",House of Representatives District 12,Won,Won,Republican,Sevierville,Yes,2014,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives District 55,Won,Won,Democrat,Nashville,Yes,2014,
"Crowe, Rusty","Crowe, Rusty",Senate District 3,Won,Won,Republican,Johnson City,Yes,2014,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Cosby,Yes,2014,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives District 17,Won,Won,Republican,Sevierville,Yes,2014,
"Hardaway, G. A.","Hardaway, G. A.",House of Representatives District 93,Won,Won,Democrat,Memphis,Yes,2014,
"Hawk, David","Hawk, David",House of Representatives District 5,Won,Won,Republican,Greeneville,Yes,2014,
"Hazlewood, Patsy","Hazlewood, Patsy",House of Representatives District 27,Won,Won,Republican,Signal Mountain,Yes,2014,
"Hill, Timothy","Hill, Timothy",House of Representatives District 3,Won,Won,Republican,Blountville,Yes,2014,
"Holsclaw, John B.","Holsclaw, John",House of Representatives District 4,Won,Won,Republican,Johnson City,Yes,2014,
"Howell, Dan","Howell, Dan",House of Representatives District 22,Won,Won,Republican,Cleveland,Yes,2014,
"Hulsey, Bud","Hulsey, Bud",House of Representatives District 2,Won,Won,Republican,Kingsport,Yes,2014,
"Jackson, Edward S.","Jackson, Ed",Senate District 27,Won,Won,Republican,Jackson,Yes,2014,
"Jernigan, Darren","Jernigan, Darren",House of Representatives District 60,Won,Won,Democrat,Old Hickory,Yes,2014,
"Johnson, Curtis","Johnson, Curtis",House of Representatives District 68,Won,Won,Republican,Clarksville,Yes,2014,
"Johnson, Gloria","Johnson, Gloria",House of Representatives District 13,Lost,Won,Democrat,Knoxville,Yes,2014,
"Johnson, Jack","Johnson, Jack",Senate District 23,Won,Won,Republican,Brentwood,Yes,2014,
"Keisling, Kelly","Keisling, Kelly",House of Representatives District 38,Won,Won,Republican,Byrdstown,Yes,2014,
"Kumar, Sabi (Doc)","Kumar, Sabi",House of Representatives District 66,Won,Won,Republican,Springfield,Yes,2014,
"Kyle, Sara P.","Kyle, Sara",Senate District 30,Won,Won,Democrat,Memphis,Yes,2014,
"Lamberth, Ii, William G.","Lamberth, William",House of Representatives District 44,Won,Won,Republican,Portland,Yes,2014,
"Littleton, Mary","Littleton, Mary",House of Representatives District 78,Won,Won,Republican,Dickson,Yes,2014,
"Love, Jr., Harold M.","Love, Harold",House of Representatives District 58,Won,Won,Democrat,Nashville,Yes,2014,
"Lowe, J. Adam","Lowe, Adam",House of Representatives District 22,Lost,Lost,Republican,Cleveland,Yes,2014,
"Lundberg, Jon","Lundberg, Jon",House of Representatives District 1,Won,Won,Republican,Bristol,Yes,2014,
"Lynn, Susan","Lynn, Susan",House of Representatives District 57,Won,Won,Republican,Old Hickory,Yes,2014,
"Marsh, Pat","Marsh, Pat",House of Representatives District 62,Won,Won,Republican,Shelbyville,Yes,2014,
"Mcnally, Randy","McNally, Randy",Senate District 5,Won,Won,Republican,Oak Ridge,Yes,2014,
"Miller, Larry","Miller, Larry",House of Representatives District 88,Won,Won,Democrat,Memphis,Yes,2014,
"Mitchell, Bo","Mitchell, Bo",House of Representatives District 50,Won,Won,Democrat,Nashville,Yes,2014,
"Moody, Debra","Moody, Debra",House of Representatives District 81,Won,Won,Republican,Covington,Yes,2014,
"Parkinson, Antonio ","Parkinson, Antonio ",House of Representatives District 98,Won,Won,Democrat,Memphis,Yes,2014,
"Pody, Mark","Pody, Mark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2014,
"Powell, Jason","Powell, Jason",House of Representatives District 53,Won,Won,Democrat,Nashville,Yes,2014,
"Powers, Dennis","Powers, Dennis",House of Representatives District 36,Won,Won,Republican,Jacksboro,Yes,2014,
"Ragan, John","Ragan, John",House of Representatives District 33,Won,Won,Republican,Oak Ridge,Yes,2014,
"Reedy, Jay D.","Reedy, Jay",House of Representatives District 74,Won,Won,Republican,Erin,Yes,2014,
"Roberts, Kerry","Roberts, Kerry",Senate District 25,Won,Won,Republican,Springfield,Yes,2014,
"Sexton, Cameron","Sexton, Cameron",House of Representatives District 25,Won,Won,Republican,Crossville,Yes,2014,
"Shaw, Johnny","Shaw, Johnny",House of Representatives District 80,Won,Won,Democrat,Bolivar,Yes,2014,
